Frame,Visibility,X,Y
0,1,761,198
1,1,762,144
2,1,761,110
3,1,762,85
4,1,762,67
5,1,761,50
6,1,761,36
7,1,762,26
8,1,764,21
9,1,763,17
10,1,767,12
11,1,764,11
12,1,766,12
13,1,768,10
14,1,770,12
15,1,768,16
16,1,771,22
17,1,771,26
18,1,772,35
19,1,773,42
20,1,775,50
21,1,774,59
22,1,777,73
23,1,777,81
24,1,777,91
25,1,779,104
26,1,782,118
27,1,780,132
28,1,780,144
29,1,785,158
30,1,787,174
31,1,788,188
32,1,792,196
33,1,805,177
34,1,816,166
35,1,823,157
36,1,831,151
37,1,838,147
38,1,842,143
39,1,850,143
40,1,853,141
41,1,860,146
42,1,862,151
43,1,866,153
44,1,868,160
45,1,876,166
46,1,876,177
47,1,878,188
48,1,883,199
49,1,881,210
50,1,884,226
51,1,885,241
52,1,886,256
53,1,889,271
54,1,889,290
55,1,890,307
56,1,891,327
57,1,892,347
58,1,895,367
59,1,872,280
60,1,854,219
61,1,843,179
62,1,837,145
63,1,829,119
64,1,826,101
65,1,821,87
66,1,819,75
67,1,814,62
68,1,813,53
69,1,808,51
70,1,808,45
71,1,806,42
72,1,803,44
73,1,803,46
74,1,801,48
75,1,799,51
76,1,799,57
77,1,799,63
78,1,798,69
79,1,798,78
80,1,798,85
81,1,796,91
82,1,798,105
83,1,798,114
84,1,797,126
85,1,799,138
86,1,797,152
87,1,798,161
88,1,800,178
89,1,800,194
90,1,801,206
91,1,807,224
92,1,818,235
93,1,824,238
94,1,829,249
95,1,836,262
96,1,841,272
97,1,842,284
98,1,848,297
99,1,850,312
100,1,855,327
101,1,862,341
102,1,862,358
103,1,864,373
104,1,870,388
105,1,870,407
106,1,872,418
107,1,871,430
108,1,871,427
109,1,874,435
110,1,874,445
111,1,878,450
112,1,877,453
113,1,877,468
114,1,875,476
115,1,877,492
116,1,877,502
117,1,880,499
118,1,880,498
119,1,879,501
120,1,878,497
121,1,877,499
122,1,878,498
123,1,880,503
124,1,879,501
125,1,879,501
126,1,881,503
127,1,880,501
128,1,882,504
129,1,883,502
130,1,880,502
131,1,881,501
132,1,878,503
133,1,880,503
134,1,880,506
135,1,880,503
136,1,881,505
137,1,883,507
