Frame,Visibility,X,Y
0,1,715.0,130.0
1,1,716.0,149.0
2,1,717.0,171.0
3,1,719.0,186.0
4,1,727.0,202.0
5,1,748.0,194.0
6,1,758.0,190.0
7,1,774.0,185.0
8,1,785.0,186.0
9,1,795.0,186.0
10,1,802.0,184.0
11,1,809.0,191.0
12,1,815.0,192.0
13,1,823.0,198.0
14,1,826.0,204.0
15,1,832.0,210.0
16,1,839.0,220.0
17,1,843.0,230.0
18,1,847.0,244.0
19,1,850.0,256.0
20,1,851.0,266.0
21,1,857.0,280.0
22,1,860.0,296.0
23,1,862.0,314.0
24,1,866.0,327.0
25,1,869.0,344.0
26,1,869.0,368.0
27,1,873.0,388.0
28,1,872.0,406.0
29,1,871.0,405.0
30,1,861.0,377.0
31,1,853.0,360.0
32,1,852.0,338.0
33,1,855.0,329.0
34,1,852.0,314.0
35,1,850.0,310.0
36,1,848.0,304.0
37,1,845.0,301.0
38,1,843.0,299.0
39,1,841.0,299.0
40,1,838.0,300.0
41,1,840.0,303.0
42,1,838.0,304.0
43,1,839.0,312.0
44,1,837.0,318.0
45,1,840.0,322.0
46,1,838.0,333.0
47,1,838.0,340.0
48,1,842.0,354.0
49,1,839.0,361.0
50,1,837.0,376.0
51,1,839.0,385.0
52,1,840.0,397.0
53,1,838.0,413.0
54,1,838.0,426.0
55,1,838.0,427.0
56,1,846.0,412.0
57,1,844.0,390.0
58,1,845.0,382.0
59,1,851.0,361.0
60,1,855.0,359.0
61,1,849.0,345.0
62,1,849.0,338.0
63,1,850.0,334.0
64,1,848.0,330.0
65,1,848.0,326.0
66,1,850.0,327.0
67,1,850.0,326.0
68,1,848.0,326.0
69,1,847.0,333.0
70,1,848.0,340.0
71,1,849.0,347.0
72,1,846.0,357.0
73,1,845.0,364.0
74,1,843.0,374.0
75,1,840.0,384.0
76,1,841.0,400.0
77,1,840.0,411.0
78,1,840.0,424.0
79,1,840.0,418.0
80,1,839.0,396.0
81,1,840.0,379.0
82,1,839.0,372.0
83,1,839.0,362.0
84,1,838.0,356.0
85,1,836.0,346.0
86,1,838.0,342.0
87,1,839.0,339.0
88,1,838.0,338.0
89,1,838.0,340.0
90,1,838.0,340.0
91,1,838.0,342.0
92,1,836.0,348.0
93,1,834.0,351.0
94,1,832.0,350.0
95,1,830.0,347.0
96,1,830.0,347.0
97,1,829.0,352.0
98,1,825.0,357.0
99,1,826.0,361.0
100,1,829.0,366.0
101,1,827.0,373.0
102,1,826.0,378.0
103,1,829.0,390.0
104,1,825.0,400.0
105,1,825.0,411.0
106,1,828.0,423.0
107,1,823.0,424.0
108,1,830.0,405.0
109,1,833.0,392.0
110,1,837.0,379.0
111,1,842.0,370.0
112,1,844.0,368.0
113,1,850.0,366.0
114,1,859.0,361.0
115,1,861.0,357.0
116,1,863.0,358.0
117,1,869.0,362.0
118,1,875.0,359.0
119,1,875.0,368.0
120,1,881.0,370.0
121,1,882.0,378.0
122,1,890.0,382.0
123,1,896.0,389.0
124,1,897.0,388.0
125,1,902.0,387.0
126,1,906.0,399.0
127,1,908.0,408.0
128,1,909.0,410.0
129,1,909.0,415.0
130,1,915.0,426.0
131,1,916.0,442.0
132,1,919.0,452.0
133,1,920.0,461.0
134,1,920.0,473.0
135,0,0,0
136,1,915.0,488.0
137,1,912.0,487.0
138,1,910.0,485.0
139,1,903.0,485.0
140,1,900.0,485.0
141,1,894.0,485.0
142,1,886.0,488.0
143,1,883.0,486.0
144,1,887.0,486.0
145,1,889.0,484.0
146,1,882.0,487.0
147,1,885.0,487.0
148,1,879.0,487.0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
