Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,819.0,14.0
33,1,817.0,36.0
34,1,819.0,61.0
35,1,818.0,92.0
36,1,819.0,114.0
37,1,820.0,146.0
38,1,819.0,173.0
39,1,818.0,201.0
40,1,818.0,227.0
41,1,821.0,258.0
42,1,821.0,287.0
43,1,818.0,314.0
44,1,818.0,342.0
45,1,790.0,358.0
46,1,739.0,341.0
47,1,700.0,327.0
48,0,0,0
49,1,640.0,311.0
50,1,620.0,311.0
51,1,596.0,302.0
52,1,585.0,307.0
53,1,570.0,308.0
54,1,557.0,310.0
55,1,546.0,313.0
56,1,538.0,316.0
57,1,527.0,323.0
58,1,519.0,329.0
59,1,510.0,332.0
60,1,504.0,343.0
61,1,499.0,355.0
62,1,494.0,361.0
63,1,487.0,370.0
64,1,482.0,386.0
65,1,476.0,396.0
66,1,474.0,407.0
67,1,468.0,421.0
68,0,0,0
69,1,514.0,364.0
70,1,539.0,334.0
71,1,560.0,301.0
72,1,578.0,279.0
73,1,596.0,261.0
74,1,613.0,240.0
75,1,630.0,226.0
76,1,641.0,213.0
77,1,652.0,203.0
78,1,667.0,196.0
79,1,680.0,190.0
80,1,689.0,184.0
81,1,703.0,184.0
82,1,712.0,181.0
83,1,722.0,183.0
84,1,731.0,182.0
85,1,743.0,190.0
86,1,750.0,192.0
87,1,757.0,200.0
88,1,770.0,208.0
89,1,777.0,217.0
90,1,782.0,227.0
91,1,792.0,241.0
92,1,795.0,256.0
93,1,803.0,272.0
94,1,811.0,289.0
95,1,816.0,306.0
96,1,821.0,325.0
97,1,828.0,342.0
98,1,835.0,368.0
99,1,831.0,386.0
100,1,829.0,285.0
101,1,816.0,219.0
102,1,814.0,174.0
103,1,804.0,137.0
104,1,804.0,107.0
105,1,801.0,85.0
106,1,802.0,72.0
107,1,796.0,57.0
108,1,798.0,44.0
109,1,794.0,39.0
110,1,798.0,32.0
111,1,797.0,23.0
112,1,794.0,24.0
113,1,798.0,24.0
114,1,795.0,25.0
115,1,795.0,27.0
116,1,796.0,31.0
117,1,796.0,36.0
118,1,799.0,41.0
119,1,798.0,44.0
120,1,798.0,53.0
121,1,799.0,61.0
122,1,799.0,68.0
123,1,802.0,79.0
124,1,802.0,91.0
125,1,803.0,103.0
126,1,802.0,116.0
127,1,804.0,129.0
128,1,805.0,140.0
129,1,806.0,152.0
130,1,809.0,168.0
131,1,806.0,181.0
132,1,808.0,200.0
133,1,810.0,211.0
134,1,809.0,226.0
135,1,818.0,230.0
136,1,820.0,235.0
137,1,825.0,243.0
138,1,823.0,250.0
139,1,832.0,260.0
140,1,836.0,266.0
141,1,839.0,273.0
142,1,836.0,283.0
143,1,837.0,294.0
144,1,843.0,305.0
145,1,846.0,315.0
146,1,843.0,329.0
147,1,847.0,342.0
148,1,847.0,362.0
149,1,845.0,373.0
150,1,846.0,387.0
151,1,849.0,403.0
152,1,846.0,425.0
153,1,849.0,441.0
154,1,847.0,463.0
155,1,838.0,464.0
156,0,0,0
157,1,788.0,411.0
158,1,768.0,388.0
159,1,751.0,370.0
160,1,740.0,355.0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,1,665.0,311.0
166,1,655.0,306.0
167,1,641.0,302.0
168,1,633.0,303.0
