Frame,Visibility,X,Y
0,1,389.0,356.0
1,1,387.0,371.0
2,1,394.0,325.0
3,1,409.0,263.0
4,1,413.0,214.0
5,1,421.0,181.0
6,1,425.0,157.0
7,1,430.0,138.0
8,1,436.0,120.0
9,1,439.0,107.0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,474.0,104.0
22,1,477.0,111.0
23,1,479.0,122.0
24,1,483.0,129.0
25,1,484.0,138.0
26,1,487.0,152.0
27,1,489.0,162.0
28,1,492.0,172.0
29,1,494.0,184.0
30,1,495.0,195.0
31,1,499.0,212.0
32,1,501.0,224.0
33,1,501.0,237.0
34,1,504.0,255.0
35,1,505.0,267.0
36,1,506.0,284.0
37,1,510.0,303.0
38,1,512.0,317.0
39,1,513.0,331.0
40,1,513.0,347.0
41,1,515.0,366.0
42,1,517.0,375.0
43,1,519.0,368.0
44,1,513.0,364.0
45,1,514.0,362.0
46,1,514.0,362.0
47,1,512.0,362.0
48,1,514.0,364.0
49,1,515.0,365.0
50,1,513.0,372.0
51,1,515.0,374.0
52,1,511.0,375.0
53,1,512.0,375.0
54,1,512.0,377.0
55,1,513.0,374.0
56,1,513.0,377.0
57,1,510.0,375.0
58,1,513.0,376.0
59,1,512.0,375.0
60,1,509.0,374.0
61,1,511.0,375.0
62,1,512.0,377.0
63,1,513.0,375.0
64,1,512.0,374.0
65,1,514.0,375.0
66,1,513.0,375.0
67,1,513.0,376.0
68,1,512.0,374.0
69,1,515.0,374.0
70,1,515.0,374.0
71,1,513.0,377.0
72,1,515.0,376.0
73,1,514.0,374.0
74,1,513.0,374.0
75,1,515.0,375.0
76,1,511.0,375.0
77,1,514.0,373.0
78,1,515.0,374.0
79,1,515.0,375.0
