frame 0
pose 0
619.8302 321.32263 0.9583048
622.1633 318.9895 0.9704469
617.4971 318.9895 0.96368104
626.8296 320.15607 0.9314423
615.16394 320.15607 0.9491744
637.3287 331.82172 0.836156
611.66425 331.82172 0.917904
650.16095 342.32086 0.9600086
610.4977 348.1537 0.86267537
645.4947 352.81995 0.8259473
606.998 364.4856 0.81891185
637.3287 362.15247 0.78992814
622.1633 360.9859 0.7709765
639.6618 388.98346 0.8945805
610.4977 379.65094 0.85351765
643.16156 415.8145 0.8561317
612.8308 406.482 0.8857137
pose 1
469.47272 468.05533 0.9188819
467.3271 465.9097 0.8397604
465.18152 468.05533 0.95507807
456.59906 476.6378 0.70873165
465.18152 476.6378 0.89841586
469.47272 478.78342 0.7859792
456.59906 500.2396 0.8282944
471.61835 457.32724 0.8741407
443.72534 530.2782 0.9076099
475.9096 438.0167 0.9301322
450.16217 515.2589 0.9248385
460.89026 545.2975 0.6797531
465.18152 549.58875 0.8259411
465.18152 590.35547 0.8726516
475.9096 590.35547 0.8812901
448.01654 628.97656 0.8972087
463.0359 635.4133 0.8783314
pose 2
164.03879 375.8841 0.8591622
162.1925 373.11465 0.85301006
160.34622 374.96094 0.8674277
153.88425 381.4229 0.41652837
152.96112 380.4998 0.8338561
159.4231 395.27002 0.42473826
152.038 399.8857 0.4900919
173.27017 419.27164 0.5572508
168.65448 428.50302 0.28712085
188.96356 432.1956 0.6946917
186.19415 439.5807 0.5409012
171.42392 444.1964 0.20203009
163.11566 446.04266 0.27579582
200.96436 442.35013 0.10158029
198.19495 451.5815 0.16555485
185.73257 464.04388 0.06881314
191.2714 464.04388 0.036219843
pose 3
188.48781 240.75244 0.90650344
189.56833 237.5109 0.9226206
186.32678 237.5109 0.90468264
192.80988 239.67194 0.8244554
182.00471 239.67194 0.8533295
198.21245 251.55759 0.8512043
177.68266 252.63809 0.87470543
204.69554 264.52377 0.796935
174.44112 267.76532 0.7835393
204.69554 274.2484 0.6508134
177.68266 279.65097 0.48411423
198.21245 283.97305 0.7404114
184.16576 283.97305 0.7095506
198.21245 310.98593 0.6489468
185.24626 309.90543 0.62886137
196.05142 339.0793 0.4552888
183.08524 341.24036 0.4467998
pose 4
231.92455 235.82825 0.67608595
233.70552 234.0473 0.73476344
230.73726 233.45364 0.71107036
236.08015 235.23459 0.7120865
226.58167 235.23459 0.70981896
239.64207 248.29501 0.696947
219.45781 248.29501 0.6589046
244.39131 261.94907 0.5847773
217.67685 266.6983 0.42845377
246.17229 271.44754 0.43584976
230.73726 275.0095 0.23412973
237.26744 279.16507 0.52201796
224.20705 280.3524 0.5107047
238.15794 293.70963 0.09447801
225.09753 293.70963 0.096848905
246.76595 271.44754 0.04275087
246.76595 276.1968 0.06745739
pose 5
815.9461 241.30042 0.8135157
818.048 239.19855 0.8088505
814.3697 239.19855 0.87100506
821.2008 240.77496 0.79934657
811.7424 240.24948 0.8214444
826.98096 252.3353 0.7314192
806.4877 252.3353 0.7036273
830.1338 267.57394 0.60816264
802.8093 265.99753 0.5723889
825.93005 276.50693 0.6027436
808.58954 275.456 0.61963326
823.8282 277.0324 0.55422044
810.6914 276.50693 0.54519963
824.35364 279.65976 0.43162063
810.16595 278.60883 0.7415092
819.36163 288.33002 0.08686139
816.20886 288.33002 0.08701427
pose 6
1077.4572 290.84915 0.8477315
1080.8381 288.03168 0.79592717
1078.0206 287.46817 0.77982414
1090.9811 290.84915 0.58640575
1087.0366 290.28564 0.31323785
1096.6161 307.7541 0.44488615
1085.3461 305.5001 0.29614398
1094.362 331.9845 0.23256531
1083.092 328.04 0.11912127
1087.8818 337.90118 0.09807369
1075.7666 335.36548 0.07170176
1093.5168 337.90118 0.14973426
1084.5009 337.90118 0.13075283
1094.362 334.80197 0.038056117
1094.362 335.36548 0.033559002
1090.1359 337.90118 0.10294344
1093.5168 337.90118 0.04017495
pose 7
457.93848 231.22801 0.73322564
