frame 0
pose 0
442.1938 467.4262 0.93384117
439.90363 467.4262 0.8766163
437.61353 469.7163 0.9361952
428.45294 478.8769 0.6447459
435.32336 476.58673 0.78587765
430.7431 492.61768 0.7467478
442.1938 492.61768 0.7678203
417.00232 529.2598 0.5527642
442.1938 474.29657 0.53256625
453.64447 449.1051 0.50680476
430.7431 506.35852 0.2769496
428.45294 547.58093 0.7876325
439.90363 549.87103 0.81581223
435.32336 595.67377 0.8480735
449.0642 593.38367 0.87012625
419.29242 636.89624 0.8916818
430.7431 641.4765 0.90985245
pose 1
187.48456 242.1565 0.5288574
189.22383 239.83746 0.5532774
186.9048 240.41724 0.5702229
192.70236 240.99698 0.5830285
184.58577 240.41724 0.5175634
199.65944 251.43262 0.7143914
179.94771 251.43262 0.6474619
204.2975 263.02774 0.5747878
175.30966 264.76703 0.56303054
202.55823 270.56458 0.373628
184.00601 270.56458 0.35554945
198.49994 279.26093 0.5912064
186.32504 278.68118 0.6202577
197.6303 294.62448 0.2683861
186.03516 294.62448 0.28511563
198.78981 294.62448 0.061725214
186.03516 294.62448 0.052045804
pose 2
618.1906 307.0349 0.3648921
626.84564 317.13245 0.32660466
619.6331 315.68994 0.33551875
628.28815 315.68994 0.45161465
616.74817 307.0349 0.29391584
636.9432 328.67242 0.7704523
610.97815 325.7874 0.5158943
645.5982 340.21246 0.77337646
609.53564 347.425 0.63453
641.2707 357.52252 0.7735654
606.65063 366.1775 0.67209584
632.61566 363.29248 0.7017322
618.1906 363.29248 0.6109948
635.5007 390.70007 0.833218
610.97815 386.37256 0.82983214
641.2707 415.2226 0.75747657
610.97815 409.45258 0.76659167
pose 3
634.9797 236.2793 0.43850774
638.4529 234.19537 0.51764387
634.28503 234.19537 0.46814847
641.9261 235.58466 0.6848991
632.2012 234.89001 0.6966264
648.87244 247.3935 0.7710471
627.3387 247.3935 0.7388451
652.34564 263.37018 0.6107922
623.8655 263.37018 0.6326508
649.5671 275.17905 0.49668798
630.11725 272.40048 0.55123776
644.01 277.26294 0.5755983
630.8119 277.95758 0.5775736
643.31537 298.79675 0.40090415
630.11725 299.49136 0.42874703
644.3573 302.61725 0.1292597
630.46454 302.61725 0.10637448
pose 4
811.5055 243.16403 0.5374149
813.54083 240.45032 0.56937283
811.5055 241.12875 0.5240486
816.933 241.80719 0.4737316
818.2898 241.12875 0.1601331
813.54083 251.98361 0.21334834
829.14465 251.98361 0.19211309
810.1487 270.3012 0.21292463
807.43494 268.2659 0.2506686
800.65063 275.72864 0.15398584
804.0428 275.72864 0.16788486
824.3957 281.15607 0.23877175
818.96826 281.83447 0.13790198
825.7525 297.43835 0.16483098
822.36035 302.86578 0.13190001
827.4486 306.59714 0.10152651
824.73486 306.59714 0.06689465
pose 5
459.0564 233.44458 0.7747946
461.10983 230.70667 0.7739161
457.68744 231.39114 0.7729913
463.16327 231.39114 0.6557799
453.58057 232.07562 0.64864
471.37704 243.71176 0.6107902
446.73578 244.39624 0.633135
477.53735 260.82376 0.5741419
441.94443 259.4548 0.62850565
474.79944 274.51334 0.52960026
442.6289 271.77542 0.61139745
468.63913 279.98917 0.50351804
450.15817 279.3047 0.52789295
466.58566 294.36325 0.23953694
452.8961 297.10117 0.25698456
469.3236 288.88742 0.13335791
454.6073 298.12787 0.057762165
pose 6
195.3187 481.31116 0.21633759
200.15964 477.546 0.31647786
193.70503 477.546 0.21711397
208.7658 477.00812 0.28344443
188.86409 477.546 0.12209554
224.09547 505.7849 0.049619496
174.61017 514.39105 0.049624458
224.09547 511.16376 0.04167107
174.61017 513.3153 0.050513115
224.09547 509.0122 0.03413847
221.675 509.28113 0.0591754
204.73166 514.39105 0.020673348
185.09889 511.97058 0.027530862
200.15964 477.546 0.015782412
199.08388 477.00812 0.041368242
224.09547 509.0122 0.03420127
224.09547 509.0122 0.057385337
frame 1
pose 0
615.11664 321.62384 0.8866185
618.6234 319.28598 0.90828717
