frame 0
pose 0
654.7798 309.66776 0.9410097
657.1369 307.31058 0.92889524
652.4226 307.31058 0.95699656
660.67267 307.31058 0.94648767
647.7083 309.66776 0.91551995
667.7441 317.9178 0.87988037
641.8154 322.63208 0.8639911
679.52985 320.27493 0.9254431
634.74396 336.775 0.8767744
684.2442 335.59644 0.9203083
632.3868 352.0965 0.82694584
665.38696 349.73935 0.8101742
650.0654 349.73935 0.79234266
674.81555 374.48944 0.8178166
640.63684 375.66803 0.83923256
684.2442 402.7753 0.81105053
638.27966 402.7753 0.7937766
pose 1
717.6426 468.97363 0.82079226
713.64746 470.9712 0.68960255
717.6426 468.97363 0.9503138
703.6597 480.95892 0.9007329
715.645 474.9663 0.9569786
703.6597 498.9369 0.90493417
729.62787 486.9516 0.9013411
709.65234 480.95892 0.607327
747.60583 466.97607 0.82048696
715.645 472.96875 0.757278
747.60583 452.99323 0.691272
717.6426 544.88055 0.8347313
737.6181 542.883 0.7715717
711.6499 580.8364 0.9361461
733.623 590.82416 0.8666737
705.6573 614.7948 0.9276541
723.6352 634.77026 0.86447525
pose 2
164.25539 374.49686 0.8737306
162.48312 372.72458 0.8940138
160.71086 374.49686 0.9008462
154.50792 378.92752 0.43588138
153.62178 379.81366 0.8549149
161.59698 394.87793 0.48644122
150.07724 399.3086 0.5818755
173.11673 420.57584 0.5422531
168.68607 424.12036 0.3018861
186.40874 432.09558 0.6864289
185.52261 437.41238 0.44654724
170.45833 440.9569 0.31124872
158.93858 444.50146 0.3959789
199.70076 440.0708 0.16105483
196.15622 448.93213 0.19922452
185.07954 464.43945 0.05608857
207.67596 452.47665 0.06854481
pose 3
232.40459 235.92328 0.7101967
234.47197 233.16672 0.7472865
231.02629 233.16672 0.71641266
236.53941 234.54501 0.5386838
226.89146 234.54501 0.64250815
239.29594 248.32776 0.7068017
220.68922 248.32776 0.6264324
244.11992 262.11053 0.5996399
217.93268 261.4214 0.4992357
246.18733 271.75845 0.6401434
226.89146 271.75845 0.24129859
235.85027 277.9607 0.5051837
223.44579 277.27158 0.5452679
233.78285 300.70224 0.3569508
223.44579 300.01312 0.35000148
234.12743 303.80338 0.107130535
223.10121 303.80338 0.11081017
pose 4
188.9177 238.9606 0.8767161
189.89975 236.01443 0.8876905
185.97156 236.99649 0.85161746
193.82797 237.97855 0.82044494
183.02539 238.9606 0.8763469
199.72028 251.72726 0.82721245
178.11514 252.70932 0.82284844
204.63052 265.47598 0.6919314
176.15103 269.40417 0.7019629
203.64847 276.27853 0.6223928
187.93564 275.29648 0.58889806
198.73822 283.1529 0.663411
184.00745 283.1529 0.61323386
195.79205 309.6683 0.34790686
184.00745 308.68625 0.3672713
205.61258 316.54263 0.22320782
180.57025 339.62085 0.19774276
pose 5
