frame 0
pose 0
769.04755 444.38956 0.6148103
765.53766 440.87967 0.5810883
769.04755 440.87967 0.63985914
756.763 444.38956 0.92860913
770.8025 444.38956 0.9324351
749.7433 461.93893 0.895117
776.0673 460.184 0.9257029
753.2531 484.75308 0.5454393
781.3321 482.99814 0.9302236
776.0673 490.0179 0.46588865
805.90125 470.7136 0.89765656
755.00806 516.342 0.77092636
770.8025 516.342 0.76545036
756.763 549.6858 0.906932
772.55743 554.95056 0.8955398
749.7433 590.0493 0.8844311
770.8025 593.5592 0.9066703
pose 1
631.9835 329.0609 0.6796461
630.54266 326.17926 0.69522816
631.9835 326.17926 0.75350755
621.8977 326.17926 0.77370083
630.54266 326.17926 0.8059167
617.5752 337.70593 0.675568
633.4244 339.14673 0.68064356
636.306 329.0609 0.21073842
640.62854 349.23254 0.40221015
653.596 357.87756 0.38482213
652.15515 356.4367 0.34581003
621.8977 376.60834 0.56514806
636.306 376.60834 0.5442646
619.01605 409.7475 0.635966
633.4244 411.1883 0.6931891
617.5752 437.1233 0.5718267
627.661 438.56415 0.6270782
pose 2
173.99638 389.19354 0.68959904
173.99638 385.33484 0.7210786
170.13773 386.2995 0.63392377
161.45575 387.26416 0.3648229
165.3144 388.22888 0.50419503
151.80911 409.45148 0.27964363
164.34975 409.45148 0.42348397
175.92572 425.85077 0.2728237
173.03172 440.32074 0.38592103
188.46635 431.63873 0.5861611
188.46635 436.46204 0.37187472
163.38509 476.0133 0.103188835
166.27907 451.89667 0.17271674
163.38509 466.36664 0.07808102
168.2084 459.614 0.10059428
169.6554 480.35425 0.0928032
167.72607 480.35425 0.07038933
pose 3
1086.6528 292.31833 0.18814771
1093.6047 287.92767 0.24812722
1082.2622 289.39124 0.27911317
1098.7273 287.92767 0.18052919
1078.9692 289.7571 0.29659018
1101.6543 304.39258 0.06411262
1071.8345 302.0143 0.09791567
1099.093 286.46414 0.028410869
1080.7988 288.29355 0.032333445
1095.8 286.46414 0.030220887
1082.6282 299.63605 0.043891344
1083.7258 281.7076 0.025147157
1083.7258 291.95242 0.019376613
1083.7258 282.0735 0.02771232
1086.6528 281.7076 0.05498809
1105.679 283.53705 0.04727767
1071.8345 310.0638 0.01800914
pose 4
927.2551 183.72601 0.19914259
929.21643 180.78398 0.21636468
917.93866 181.2743 0.29263592
931.1778 180.78398 0.13675357
913.0353 179.31296 0.24242756
937.55225 194.02312 0.07247974
922.3517 200.39752 0.07337466
953.24304 201.86855 0.094238326
907.8867 205.54608 0.12608212
941.4749 186.66805 0.36017093
915.9773 196.47482 0.2823645
939.26843 224.17896 0.1039382
922.59686 224.17896 0.111804135
950.7914 194.51346 0.1373348
936.0812 192.06177 0.04509328
939.51355 186.1777 0.05528433
907.8867 224.17896 0.04052245
pose 5
293.3457 99.8994 0.0732382
366.16003 20.150406 0.075828984
334.9539 113.76878 0.082166545
321.0845 144.97493 0.10379511
265.60693 131.10555 0.099155106
341.88858 2.813675 0.21209149
223.99878 13.2157135 0.17592384
376.56207 30.552444 0.7272582
178.92325 40.954483 0.856072
414.70288 103.366745 0.84974086
269.07428 113.76878 0.83057433
317.61716 151.90962 0.55303246
237.86816 155.37697 0.55947113
324.55185 294.07086 0.36907908
265.60693 307.94025 0.43527177
308.9488 313.1413 0.03062345
253.47122 313.1413 0.048831277
frame 1
pose 0
771.8762 444.10315 0.79214
770.11523 440.58124 0.7739023
771.8762 440.58124 0.84260744
757.7887 444.10315 0.9000062
770.11523 444.10315 0.9472928
752.50586 461.7126 0.86925954
775.3981 461.7126 0.9370728
752.50586 486.36572 0.5604802
780.6809 484.6048 0.9156564
775.3981 493.4095 0.403121
803.5731 474.03912 0.9272385
754.2667 512.77985 0.754006
770.11523 512.77985 0.7765114
757.7887 551.52057 0.8903166
773.6371 556.8034 0.84429383
750.7449 592.0222 0.883883
771.8762 593.78314 0.92134434
pose 1
624.37354 321.994 0.92246234
627.21014 319.15738 0.9564543
621.5369 320.57568 0.9568198
631.465 321.994 0.8438216
618.7004 324.83057 0.9366997
638.5565 337.5952 0.8233415
618.7004 337.5952 0.91746366
632.8833 326.24887 0.41348973
634.30164 330.50375 0.9295457
642.8114 313.4842 0.585955
641.3931 313.4842 0.92393917
637.1382 377.3075 0.79724246
621.5369 377.3075 0.8396956
634.30164 411.3466 0.8555169
617.28204 409.9283 0.82578814
627.21014 439.7125 0.792759
615.8638 429.78445 0.8489288
pose 2
188.69711 239.82962 0.7397146
190.70499 236.81781 0.7371848
187.69318 237.82175 0.7235085
194.7207 238.82568 0.7165021
183.67746 238.82568 0.70686483
199.74036 251.8768 0.85815054
178.6578 251.8768 0.8347681
204.76001 266.93576 0.7156181
175.646 268.9436 0.754323
203.75607 277.979 0.57932097
185.68533 274.9672 0.43104422
198.73642 281.99472 0.734513
183.67746 281.99472 0.72433287
204.76001 295.04584 0.3703862
184.6814 301.0694 0.25653216
204.76001 312.11267 0.5976832
184.6814 316.1284 0.15379041
pose 3
816.15515 242.8073 0.71694976
818.65314 240.30931 0.7389786
814.6564 239.80971 0.73613197
821.6507 241.30852 0.75311965
811.15924 241.30852 0.7400064
826.64667 252.79918 0.68672556
805.6637 254.29796 0.58104813
829.6442 268.2866 0.56834334
803.1657 268.2866 0.5461896
826.64667 276.7797 0.6382611
808.1617 276.7797 0.3066347
822.6499 278.77808 0.4369957
809.66046 278.27847 0.43794253
824.1487 280.27686 0.28669643
800.91754 288.02057 0.16525534
818.65314 287.27118 0.11106307
799.169 286.27197 0.13844551
pose 4
170.65015 389.4573 0.56643033
171.41931 384.84222 0.72004056
166.80423 385.6114 0.5634681
176.80362 386.38058 0.62674344
163.72751 386.38058 0.4930089
169.88095 404.0718 0.5629147
163.72751 406.37933 0.42046598
176.03442 422.5322 0.43867466
168.34259 434.06995 0.31158993
189.11053 432.5316 0.64654016
185.26462 439.45422 0.52104974
172.1885 447.91525 0.22420968
162.95831 448.68442 0.32693765
203.72504 448.68442 0.19672737
201.41748 448.68442 0.35765126
161.41995 454.8379 0.048485875
160.65076 454.8379 0.04487676
pose 5
230.09976 236.0043 0.76865387
232.0257 233.11542 0.82545465
228.17383 232.15244 0.82759917
234.91458 234.07837 0.61013937
225.28494 234.07837 0.65630656
237.8035 247.5599 0.66771555
220.4701 246.59692 0.59003943
242.61832 260.07846 0.6705973
217.5812 263.93033 0.5100813
245.50723 270.67108 0.7647153
228.17383 265.85626 0.6400731
233.95163 279.33777 0.6323413
221.43307 279.33777 0.67073596
233.95163 300.523 0.6007801
220.4701 301.486 0.55191344
233.95163 321.70828 0.57891977
219.50714 320.7453 0.4851841
pose 6
